"","title","year","length","rating","votes","mpaa","Action","Animation","Comedy","Drama","budget_millions"
"1","'Til There Was You",1997,113,4.8,799,"PG-13",0,0,1,0,23
"2","10 Things I Hate About You",1999,97,6.7,19095,"PG-13",0,0,1,0,16
"3","100 Mile Rule",2002,98,5.6,181,"R",0,0,1,0,1.1
"4","13 Going On 30",2004,98,6.4,7859,"PG-13",0,0,1,1,37
"5","13th Warrior, The",1999,102,6.1,14344,"R",1,0,0,0,85
"6","15 Minutes",2001,120,6.1,10866,"R",0,0,0,1,42
"7","1776",1972,180,7.3,1754,"PG",0,0,0,1,4
"8","2 Fast 2 Furious",2003,107,5.1,9556,"PG-13",1,0,0,0,76
"9","20 Dates",1998,87,5.4,841,"R",0,0,1,0,0.06
"10","200 Cigarettes",1999,101,5.4,4514,"R",0,0,1,1,6
"11","2001: A Space Travesty",2000,99,2.5,2023,"R",0,0,1,0,26
"12","2046",2004,129,7.6,2663,"R",0,0,0,1,12
"13","21 Grams",2003,124,8,21857,"R",0,0,0,1,20
"14","24 Hour Woman, The",1999,93,5.6,149,"R",0,0,1,0,2.5
"15","25th Hour",2002,135,7.8,15788,"R",0,0,0,1,15
"16","28 Days",2000,103,6,7465,"PG-13",0,0,0,1,43
"17","28 Days Later...",2002,113,7.3,24174,"R",0,0,0,0,8
"18","3000 Miles to Graceland",2001,125,5.4,7298,"R",1,0,1,0,62
"19","40 Days and 40 Nights",2002,96,5.4,8609,"R",0,0,1,1,17
"20","50 First Dates",2004,99,6.8,13497,"PG-13",0,0,1,0,75
"21","51st State, The",2001,92,6.1,6752,"R",1,0,1,0,28
"22","54",1998,100,5.4,6905,"R",0,0,0,1,13
"23","6th Day, The",2000,123,5.9,12064,"PG-13",1,0,0,0,82
"24","8 Mile",2002,110,6.8,17900,"R",0,0,0,1,41
"25","8MM",1999,123,5.9,18541,"R",0,0,0,0,40
"26","AVP: Alien Vs. Predator",2004,102,5.4,14651,"PG-13",1,0,0,0,45
"27","Abandon",2002,99,4.7,2364,"PG-13",0,0,0,1,25
"28","About Schmidt",2002,125,7.3,23279,"R",0,0,1,1,30
"29","About a Boy",2002,101,7.5,18318,"PG-13",0,0,1,1,27
