id,score,rank,ethnicity,gender,age,btyr1,btyr2,btyr3,btyr4,btyr5,btyr6
1,4.7,2,1,0,36,5,7,6,2,4,6
2,4.1,2,1,0,36,5,7,6,2,4,6
3,3.9,2,1,0,36,5,7,6,2,4,6
4,4.8,2,1,0,36,5,7,6,2,4,6
5,4.6,3,0,1,59,4,4,2,2,3,3
6,4.3,3,0,1,59,4,4,2,2,3,3
7,2.8,3,0,1,59,4,4,2,2,3,3
8,4.1,3,0,1,51,5,2,5,2,3,3
9,3.4,3,0,1,51,5,2,5,2,3,3
10,4.5,3,0,0,40,2,5,4,3,3,2
11,3.8,3,0,0,40,2,5,4,3,3,2
12,4.5,3,0,0,40,2,5,4,3,3,2
13,4.6,3,0,0,40,2,5,4,3,3,2
14,3.9,3,0,0,40,2,5,4,3,3,2
15,3.9,3,0,0,40,2,5,4,3,3,2
16,4.3,3,0,0,40,2,5,4,3,3,2
17,4.5,3,0,0,40,2,5,4,3,3,2
18,4.8,2,0,0,31,7,9,9,7,6,6
19,4.6,2,0,0,31,7,9,9,7,6,6
20,4.6,2,0,0,31,7,9,9,7,6,6
21,4.9,2,0,0,31,7,9,9,7,6,6
22,4.6,2,0,0,31,7,9,9,7,6,6
23,4.5,2,0,0,31,7,9,9,7,6,6
24,4.4,3,0,1,62,6,6,5,5,5,6
25,4.6,3,0,1,62,6,6,5,5,5,6
26,4.7,3,0,1,62,6,6,5,5,5,6
27,4.5,3,0,1,62,6,6,5,5,5,6
28,4.8,3,0,1,62,6,6,5,5,5,6
29,4.9,3,0,1,62,6,6,5,5,5,6
30,4.5,3,0,1,62,6,6,5,5,5,6
31,4.4,2,0,0,33,4,4,5,4,4,4
32,4.3,2,0,0,33,4,4,5,4,4,4
33,4.1,2,0,0,33,4,4,5,4,4,4
34,4.2,2,0,0,33,4,4,5,4,4,4
35,3.5,2,0,0,33,4,4,5,4,4,4
36,3.4,3,0,0,51,4,6,6,2,3,3
37,4.5,3,0,0,51,4,6,6,2,3,3
38,4.4,3,0,0,51,4,6,6,2,3,3
39,4.4,3,0,0,51,4,6,6,2,3,3
40,2.5,3,0,0,51,4,6,6,2,3,3
41,4.3,3,0,0,51,4,6,6,2,3,3
42,4.5,3,0,0,51,4,6,6,2,3,3
43,4.8,2,0,0,33,3,7,5,5,3,5
44,4.8,2,0,0,33,3,7,5,5,3,5
45,4.4,2,0,0,33,3,7,5,5,3,5
46,4.7,2,0,0,33,3,7,5,5,3,5
47,4.4,2,0,0,33,3,7,5,5,3,5
48,4.7,2,0,0,33,3,7,5,5,3,5
49,4.5,2,0,0,33,3,7,5,5,3,5
50,4,1,0,1,47,5,7,6,3,6,6
51,4.3,1,0,1,47,5,7,6,3,6,6
52,4.4,1,0,1,47,5,7,6,3,6,6
53,4.5,1,0,1,47,5,7,6,3,6,6
54,5,1,0,1,47,5,7,6,3,6,6
55,4.9,1,0,1,47,5,7,6,3,6,6
56,4.6,1,0,1,47,5,7,6,3,6,6
57,5,1,0,1,47,5,7,6,3,6,6
58,4.7,1,0,1,47,5,7,6,3,6,6
59,5,1,0,1,47,5,7,6,3,6,6
60,3.6,2,1,1,35,5,7,4,2,4,7
61,3.7,2,1,1,35,5,7,4,2,4,7
62,4.3,2,1,1,35,5,7,4,2,4,7
63,4.1,1,0,1,37,4,5,5,3,5,4
64,4.2,1,0,1,37,4,5,5,3,5,4
65,4.7,1,0,1,37,4,5,5,3,5,4
66,4.7,1,0,1,37,4,5,5,3,5,4
67,3.5,1,0,1,37,4,5,5,3,5,4
68,4.1,3,0,1,42,4,7,5,4,4,5
69,4.2,3,0,1,42,4,7,5,4,4,5
70,4,3,0,1,42,4,7,5,4,4,5
71,4,3,0,1,42,4,7,5,4,4,5
72,3.9,3,0,1,42,4,7,5,4,4,5
73,4.4,3,0,1,42,4,7,5,4,4,5
74,3.8,3,0,1,42,4,7,5,4,4,5
75,3.5,3,0,1,49,3,3,5,1,7,5
76,4.2,3,0,1,49,3,3,5,1,7,5
77,3.5,3,0,1,49,3,3,5,1,7,5
78,3.6,3,0,1,49,3,3,5,1,7,5
79,2.9,2,0,0,37,6,7,7,5,4,4
80,3.3,2,0,0,37,6,7,7,5,4,4
81,3.3,2,0,0,37,6,7,7,5,4,4
82,3.2,2,0,0,37,6,7,7,5,4,4
83,4.6,3,0,1,45,2,4,3,5,4,7
84,4.2,3,0,1,45,2,4,3,5,4,7
85,4.3,3,0,1,45,2,4,3,5,4,7
86,4.4,3,0,1,45,2,4,3,5,4,7
87,4.1,3,0,1,45,2,4,3,5,4,7
88,4.6,3,0,1,45,2,4,3,5,4,7
89,4.4,1,0,0,56,3,4,1,2,2,3
90,4.8,1,0,0,56,3,4,1,2,2,3
91,4.3,1,0,0,56,3,4,1,2,2,3
92,3.6,1,0,0,56,3,4,1,2,2,3
93,4.3,1,0,0,56,3,4,1,2,2,3
94,4,1,0,1,48,3,5,6,4,4,4
95,4.2,1,0,1,48,3,5,6,4,4,4
96,4.1,1,0,1,48,3,5,6,4,4,4
97,4.1,1,0,1,48,3,5,6,4,4,4
98,4.4,1,0,1,48,3,5,6,4,4,4
99,4.3,1,0,1,48,3,5,6,4,4,4
100,4.4,1,0,1,48,3,5,6,4,4,4
101,4.4,1,0,1,48,3,5,6,4,4,4
102,4.9,3,0,0,46,4,4,5,2,6,5
103,5,3,0,0,46,4,4,5,2,6,5
104,4.4,3,0,0,46,4,4,5,2,6,5
105,4.8,3,0,0,46,4,4,5,2,6,5
106,4.9,3,0,0,46,4,4,5,2,6,5
107,4.3,3,0,0,46,4,4,5,2,6,5
108,5,3,0,0,46,4,4,5,2,6,5
109,4.7,3,0,0,46,4,4,5,2,6,5
110,4.5,3,0,0,46,4,4,5,2,6,5
111,3.5,1,0,0,57,5,4,4,5,2,6
112,3.9,1,0,0,57,5,4,4,5,2,6
113,4,1,0,0,57,5,4,4,5,2,6
114,4,1,0,0,57,5,4,4,5,2,6
115,3.7,1,0,0,57,5,4,4,5,2,6
116,3.4,1,0,0,57,5,4,4,5,2,6
117,3.3,1,0,0,57,5,4,4,5,2,6
118,3.8,1,0,0,57,5,4,4,5,2,6
119,3.9,1,0,0,57,5,4,4,5,2,6
120,3.4,1,0,0,57,5,4,4,5,2,6
121,3.7,1,0,0,52,6,6,4,2,4,7
122,4.1,1,0,0,52,6,6,4,2,4,7
123,3.7,1,0,0,52,6,6,4,2,4,7
124,3.5,1,0,0,52,6,6,4,2,4,7
125,3.5,1,0,0,52,6,6,4,2,4,7
126,4.4,1,0,0,52,6,6,4,2,4,7
127,3.4,2,1,0,29,3,3,4,2,3,2
128,4.3,3,0,1,62,4,3,4,1,2,4
129,3.7,3,0,1,62,4,3,4,1,2,4
130,4.7,3,0,1,62,4,3,4,1,2,4
131,3.9,3,0,1,62,4,3,4,1,2,4
132,3.6,3,0,1,62,4,3,4,1,2,4
133,4.5,3,0,1,64,5,4,5,3,3,5
134,4.5,3,0,1,64,5,4,5,3,3,5
135,4.8,3,0,1,64,5,4,5,3,3,5
136,4.8,3,0,1,64,5,4,5,3,3,5
137,4.7,3,0,1,64,5,4,5,3,3,5
138,4.5,3,0,1,64,5,4,5,3,3,5
139,4.3,3,0,1,64,5,4,5,3,3,5
140,4.8,2,0,0,34,8,9,8,6,8,8
141,4.1,2,0,0,34,8,9,8,6,8,8
142,4.4,3,0,1,58,4,4,5,2,4,4
143,4.3,3,0,1,58,4,4,5,2,4,4
144,3.6,3,0,1,58,4,4,5,2,4,4
145,4.5,3,0,1,58,4,4,5,2,4,4
146,4.3,3,0,1,58,4,4,5,2,4,4
147,4.4,3,1,1,52,4,5,7,5,4,4
148,4.7,3,1,1,52,4,5,7,5,4,4
149,4.8,3,1,1,52,4,5,7,5,4,4
150,3.5,3,1,1,52,4,5,7,5,4,4
151,3.8,3,1,1,52,4,5,7,5,4,4
152,3.6,3,1,1,52,4,5,7,5,4,4
153,4.2,3,1,1,52,4,5,7,5,4,4
154,3.6,3,0,1,73,1,3,6,2,1,5
155,4.4,3,0,1,73,1,3,6,2,1,5
156,3.7,3,0,1,73,1,3,6,2,1,5
157,4.3,3,0,1,73,1,3,6,2,1,5
158,4.6,3,0,1,70,5,3,2,3,3,2
159,4.6,3,0,1,70,5,3,2,3,3,2
160,4.1,3,0,1,70,5,3,2,3,3,2
161,3.6,3,0,1,70,5,3,2,3,3,2
162,2.3,2,0,0,41,3,6,7,4,4,7
163,4.3,1,0,1,63,5,4,6,4,2,5
164,4.4,1,0,1,63,5,4,6,4,2,5
165,3.6,1,0,1,63,5,4,6,4,2,5
166,4.4,1,0,1,63,5,4,6,4,2,5
167,3.9,1,0,1,63,5,4,6,4,2,5
168,3.8,1,0,1,63,5,4,6,4,2,5
169,3.4,1,0,1,63,5,4,6,4,2,5
170,4.9,3,0,1,47,1,4,3,2,3,3
171,4.1,3,0,1,47,1,4,3,2,3,3
172,3.2,3,0,1,47,1,4,3,2,3,3
173,4.2,3,0,1,39,5,6,6,6,5,5
174,3.9,3,0,1,39,5,6,6,6,5,5
175,4.9,3,0,1,39,5,6,6,6,5,5
176,4.7,3,0,1,39,5,6,6,6,5,5
177,4.4,3,0,1,39,5,6,6,6,5,5
178,4.2,2,1,0,47,2,6,6,3,5,4
179,4,2,1,0,47,2,6,6,3,5,4
180,4.4,2,1,0,47,2,6,6,3,5,4
181,3.9,2,1,0,47,2,6,6,3,5,4
182,4.4,2,1,0,47,2,6,6,3,5,4
183,3,2,1,0,47,2,6,6,3,5,4
184,3.5,2,1,0,47,2,6,6,3,5,4
185,2.8,2,1,0,47,2,6,6,3,5,4
186,4.6,2,1,0,47,2,6,6,3,5,4
187,4.3,2,1,0,47,2,6,6,3,5,4
188,3.4,2,1,0,47,2,6,6,3,5,4
189,3,2,1,0,47,2,6,6,3,5,4
190,4.2,2,1,0,47,2,6,6,3,5,4
191,4.3,3,0,1,54,1,2,4,1,2,4
192,4.1,3,0,1,54,1,2,4,1,2,4
193,4.6,3,0,1,54,1,2,4,1,2,4
194,3.9,3,1,0,44,6,8,8,5,7,5
195,3.5,3,1,0,44,6,8,8,5,7,5
196,4,3,1,0,44,6,8,8,5,7,5
197,4,3,1,0,44,6,8,8,5,7,5
198,3.9,3,1,1,47,2,2,2,2,2,4
199,3.3,3,1,1,47,2,2,2,2,2,4
200,4,3,1,1,47,2,2,2,2,2,4
201,3.8,3,1,1,47,2,2,2,2,2,4
202,4.2,3,1,1,47,2,2,2,2,2,4
203,4,3,1,1,47,2,2,2,2,2,4
204,3.8,3,1,1,47,2,2,2,2,2,4
205,3.3,3,1,1,47,2,2,2,2,2,4
206,4.1,3,0,1,62,3,2,5,3,2,3
207,4.7,3,0,1,62,3,2,5,3,2,3
208,4.4,3,0,1,62,3,2,5,3,2,3
209,4.8,3,0,1,60,4,4,6,2,2,4
210,4.8,3,0,1,60,4,4,6,2,2,4
211,4.6,3,0,1,60,4,4,6,2,2,4
212,4.6,3,0,1,60,4,4,6,2,2,4
213,4.8,3,0,1,60,4,4,6,2,2,4
214,4.4,3,0,1,60,4,4,6,2,2,4
215,4.7,3,0,1,60,4,4,6,2,2,4
216,4.7,3,0,1,60,4,4,6,2,2,4
217,3.3,2,0,1,37,4,8,7,5,5,8
218,4.4,2,0,1,42,3,5,3,3,6,4
219,4.3,2,0,1,42,3,5,3,3,6,4
220,4.9,2,0,1,42,3,5,3,3,6,4
221,4.4,2,0,1,42,3,5,3,3,6,4
222,4.7,2,0,1,42,3,5,3,3,6,4
223,4.3,3,0,1,35,4,7,2,6,4,6
224,4.8,3,0,1,35,4,7,2,6,4,6
225,4.5,3,0,1,35,4,7,2,6,4,6
226,4.7,3,0,1,35,4,7,2,6,4,6
227,3.3,1,0,0,39,8,8,8,7,9,9
228,4.7,1,0,0,39,8,8,8,7,9,9
229,4.6,1,0,0,39,8,8,8,7,9,9
230,3.6,1,0,0,39,8,8,8,7,9,9
231,4,3,0,1,49,6,6,7,6,9,5
232,4.1,3,0,1,49,6,6,7,6,9,5
233,4,3,0,1,49,6,6,7,6,9,5
234,4.5,3,0,1,61,5,5,4,4,5,6
235,4.6,3,0,1,61,5,5,4,4,5,6
236,4.8,3,0,1,61,5,5,4,4,5,6
237,4.6,3,0,1,61,5,5,4,4,5,6
238,4.9,2,0,1,33,7,8,7,6,7,7
