interest,verified,cutil,term,bankrupt,ccheck
14.07,Verified,0.547595169,60,0,6
12.61,Not Verified,0.150034722,36,1,1
17.09,Source Verified,0.661348324,36,0,4
6.72,Not Verified,0.196732283,36,0,0
14.07,Verified,0.754907716,36,0,7
6.72,Not Verified,0.092589074,36,0,6
13.59,Source Verified,0.064813673,60,0,1
11.99,Source Verified,0.177617896,60,0,1
13.59,Source Verified,0.245633674,36,0,3
6.71,Not Verified,0.536570635,36,0,0
15.04,Verified,0.580605077,60,1,4
9.92,Source Verified,0.124206488,60,0,4
13.59,Source Verified,0.165602729,36,0,8
9.43,Source Verified,0.055352711,60,0,6
19.03,Verified,0.357675373,36,1,0
19.03,Not Verified,0.552220151,60,0,0
19.03,Not Verified,0.247981828,60,0,4
28.72,Source Verified,0.932712057,60,0,6
26.77,Verified,0.228864821,36,0,2
15.05,Source Verified,0.071119005,60,0,1
6.08,Not Verified,0.257818611,36,0,0
11.98,Source Verified,0.174649325,36,1,4
13.59,Not Verified,0.267046739,60,0,1
6.71,Verified,0.032385248,36,0,1
7.96,Not Verified,1.057348109,36,0,1
12.61,Source Verified,0.087360154,60,0,0
11.98,Source Verified,0.635864506,36,0,7
7.34,Not Verified,0.522381256,36,0,0
5.32,Not Verified,0.256035714,36,0,0
6.07,Source Verified,0.016907015,36,0,2
12.62,Verified,0.260460571,36,0,2
9.44,Source Verified,0.644714164,60,0,1
19.03,Verified,0.209264449,60,0,0
20.39,Source Verified,0.455054542,60,0,0
9.93,Not Verified,0.110330483,60,0,2
6.08,Source Verified,0.003026316,36,0,0
21.45,Source Verified,0.917517241,36,0,1
15.04,Verified,0.082370638,60,0,2
10.42,Not Verified,0.620717204,36,0,2
12.61,Source Verified,0.246264618,36,0,0
18.06,Not Verified,0.535207024,60,1,0
11.99,Source Verified,0.660050463,60,0,8
15.05,Source Verified,0.58802704,60,0,0
15.05,Source Verified,0.719119314,36,0,1
12.62,Source Verified,0.123589517,60,0,2
6.72,Not Verified,0.143271662,36,1,4
6.71,Not Verified,0.107644039,36,0,0
15.05,Verified,0.461499096,36,0,0
9.93,Not Verified,0.307888889,60,0,0
10.42,Source Verified,0.494718432,36,0,2
22.91,Verified,0.175210826,60,0,6
30.79,Not Verified,0.612080491,60,0,1
15.05,Source Verified,0.460465928,60,0,0
6.07,Source Verified,0.283856414,36,0,0
6.07,Not Verified,0.186589046,36,0,1
17.47,Source Verified,0.032748851,36,0,0
7.34,Verified,0.082774655,36,0,4
13.59,Verified,0.349383686,36,1,8
6.72,Not Verified,0.065487609,36,0,2
5.31,Not Verified,0.561645368,36,0,1
9.93,Verified,0.222057258,36,1,8
9.92,Source Verified,0.395978552,36,0,0
9.93,Not Verified,0.835974843,36,0,0
14.07,Verified,0.196179337,60,0,1
7.97,Source Verified,0.447600716,36,0,1
5.31,Not Verified,0.116390087,36,0,0
9.93,Not Verified,0.338296459,60,0,1
14.08,Source Verified,0.766968798,60,1,2
12.61,Not Verified,0.165862272,36,0,0
12.62,Source Verified,0.424736842,36,0,1
17.47,Source Verified,0.806355835,36,0,6
12.62,Source Verified,0.344347225,36,0,2
6.71,Source Verified,0.398363636,36,0,0
19.42,Source Verified,0.76534585,60,0,1
12.62,Source Verified,0.315848131,36,0,3
14.08,Not Verified,0.130698785,60,0,0
10.91,Verified,0.313159851,36,0,1
17.47,Verified,0.988998947,36,0,3
18.06,Verified,0.854640118,36,0,1
16.02,Verified,0.062867741,36,1,2
19.03,Verified,0.181658061,36,0,3
12.62,Source Verified,0.415759585,36,1,7
6.07,Source Verified,0.681078366,36,0,2
