"","PID","YEAR","PROJECT_LENGTH","PROJECT_PAGE_LOCATION_STATE","CATEGORY","GOAL_IN_USD","PLEDGED_IN_USD","BACKERS_COUNT","SITE_PREDICTION","OUTCOME"
"1",1501531085,2024,57,"CA","Film & Video",1e+08,85,4,47,"canceled  "
"2",2132015082,2022,60,"CA","Film & Video",106540409,38,2,30,"failed    "
"3",1146754536,2025,60,"TX","Film & Video",1e+08,42,3,37,"failed    "
"4",1485385229,2022,60,"PA","Film & Video",12500313,28,3,62,"failed    "
"5",1168153740,2021,30,"TX","Film & Video",1e+08,0,0,45,"failed    "
"6",843636303,2021,60,"PA","Film & Video",1e+08,14,5,56,"failed    "
"7",2075450016,2020,45,"NY","Games",1e+08,20,1,43,"failed    "
"8",1628326567,2024,60,"TX","Film & Video",7e+07,1,1,55,"canceled  "
"9",730999532,2020,30,"NY","Film & Video",5e+07,76,2,35,"failed    "
"10",1227518141,2022,60,"CA","Film & Video",51869911,23,1,59,"failed    "
"11",812654701,2020,30,"CA","Film & Video",5e+07,15,3,46,"failed    "
"12",1423573849,2020,30,"CA","Film & Video",5e+07,0,0,32,"failed    "
"14",2002076541,2020,60,"CA","Film & Video",3e+07,330,4,42,"failed    "
"15",367329060,2023,30,"TX","Film & Video",2.7e+07,1,1,44,"failed    "
"16",822865000,2021,60,"CA","Games",26500000,6,6,48,"canceled  "
"17",2019882363,2021,30,"NY","Film & Video",2.6e+07,5,3,48,"failed    "
"18",420966390,2020,30,"CA","Film & Video",2.5e+07,6,2,35,"failed    "
"19",1725681986,2022,30,"CA","Film & Video",2.5e+07,0,0,57,"canceled  "
"20",595850574,2021,60,"NY","Art",18928997,2,2,45,"failed    "
"22",1912404633,2022,60,"CA","Film & Video",22250000,0,0,44,"failed    "
"24",1646442040,2020,60,"CA","Film & Video",1.5e+07,860,2,51,"canceled  "
"25",1591054264,2020,60,"CA","Film & Video",1.5e+07,5,1,48,"failed    "
"26",1296767682,2023,60,"NY","Games",12803874,570,8,61,"failed    "
"27",912701030,2024,60,"CA","Games",1e+07,337,22,100,"canceled  "
"28",2014187390,2024,60,"CA","Film & Video",1e+07,7,3,43,"failed    "
"29",1353778406,2021,15,"CA","Film & Video",1e+07,125,3,32,"failed    "
"30",1442580089,2021,60,"PA","Film & Video",1e+07,0,0,60,"failed    "
"31",558871724,2020,51,"PA","Film & Video",1e+07,0,0,47,"failed    "
"32",848178778,2022,60,"TX","Film & Video",1e+07,0,0,43,"canceled  "
"33",1046235166,2021,60,"CA","Film & Video",1e+07,100,2,31,"failed    "
"34",1881585869,2023,30,"NY","Film & Video",9220896,0,0,64,"failed    "
"35",1054316437,2024,60,"NY","Film & Video",5442481,1,1,41,"canceled  "
"36",503620661,2021,30,"CA","Film & Video",7e+06,0,0,36,"failed    "
"37",896235267,2020,60,"CA","Film & Video",4490756,0,0,68,"failed    "
"38",1894313684,2020,30,"CA","Film & Video",715978,7,3,45,"failed    "
"39",446175904,2021,30,"CA","Games",5500000,1,1,58,"failed    "
